# Mapping generated from sheet data-prestations, input data.csv output 4_prestations_1.csv
"category";"service";"label";"search_filter";"price";"billing";"filter_presentation";"calculating";"job"
"Loisirs créatifs";"Atelier bijoux";"Cours création bijoux perles & breloques";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier bijoux";"Cours création bijoux FIMO";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier bijoux";"Cours création bijoux tissage";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection poudre matifiante";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection rouge à lèvres";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection baume à lèvres";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection gloss à lèvres";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection poudre du soleil";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection vernis à ongles";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection shampoing sec";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection eye liner";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection mascara";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection savon mains";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection gommage corps";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection gommage visage";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection crème visage";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection crème corps";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection bombe de bain";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection masque visage";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection sérum yeux";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection lotion après soleil";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection masque cheveux";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection crème anti-moustique";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection dentifrice";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection soin cheveux";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection nettoyant visage";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection sel de bain";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection lait démaquillant visage";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection patch anti points noirs";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection parfums";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection gel après rasage";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection lingette démaquillante lavable";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection démélant cheveux";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection gel coiffant";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection anti-poux";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection lessive";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection dégraissant multi surface";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection détachant";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection pastilles lave-vaisselle";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection liquide vaisselle";"";0;"de l'heure";"";"Nombre";""
