# Mapping generated from sheet data-services-unique, input data.csv output 3_services_1.csv
"category";"label";"equipments";"tags"
"Jardin & équipements";"Jardin & potager";"Outils de jardinage;Arrosoir;Tronçonneuse;Tracteur tondeuse;Engrais, traitement;Coupe branches;Tuyau d'arrosage;Débroussailleuse;Aspirateur à feuilles;Taille-haies;Désherbant thermique;Sac déchets verts; Graines et plantations potager;Fourche;Pulvérisateur désherbant;Motoculteur;Tondeuse à gazon";""
"Vêtements, chaussures & accessoires";"Lavage & repassage";"Machine à laver;Fer à repasser;Lessive et produits de lavage";""
"Maison & travaux";"Maçonnerie";"Marteau piqueur;Pince à béton;Masse;Bétonnière;Niveau;Truelle;Matériel de coffrage";""
"Beauté & bien être";"Maquillage";"Coton et démaquillant;Maquillage;Serviette;Pinceaux et applicateurs";""
"Vêtements, chaussures & accessoires";"Maroquinerie ";"Produits d'entretien du cuir;Tissu;Roulettes;Machine à coudre;Fil et aiguilles";""
"Beauté & bien être";"Massage";"Table de massage;Produits de soin;Serviette";""
"High tech";"Matériel High tech";"Caisse à outils";""
"Beauté & bien être";"Médecine douce";"";""
"Maison";"Ménage";"Produits d'entretien;Aspirateur;Raclette vitre";""
"Maison & travaux";"Menuiserie";"Caisse à outils;Rabot;Décapeur;Vis, chevilles et écrous";""
"Maison & travaux";"Miroiterie";"Caisse à outils";""
"Décoration";"Montage Restauration Meuble";"Caisse à outils;Perceuse, visseuse";""
"Evènementiel ";"Musicien ";"Instruments";""
"Jardin & équipements";"Nettoyage jardin";"Produits d'entretien;Nettoyeur haute pression";""
"High tech";"Ordinateur";"Disque de sauvegarde";""
"Evènementiel ";"Organisation évènementielle";"";""
"Maison & travaux";"Peinture";"Matériel de peinture;Echelle et escabeau;Ponceuse;Scotch; Bâche de protection;Papier de verre;Sableuse";""
"Vêtements, chaussures & accessoires";"Personnalisation vêtements";"Matériel d'impression;Matériel de Broderie";""
"Décoration";"Petits travaux de décoration";"Caisse à outils;Perceuse, visseuse;Vis, chevilles et écrous";""
"Evènementiel ";"Photographie";"Appareil photo;Reflecteur";""
"Jardin & équipements";"Piscine & spa";"PHmètre;Kit de réparation;Matériel d'entretien piscine";""
"Maison & travaux";"Plâtrerie & isolation";"Perceuse, visseuse;Niveau;Vis, chevilles et écrous;Bandes à enduire;Ponceuse;Mortier adhésif et enduit;Caisse à outils;Couteau à enduire;";""
"Maison & travaux";"Plomberie";"Caisse à outils;Raccords et joints;Clé de purge;Déboucheur;Pistolet et silicone;Chalumeau";""
"Animaux";"Promenade d'animaux";"Selle;Bombe";""
"Maison & travaux";"Ramonage";"Kit ramonage";""
"Langues";"Relecture";"";""
"Beauté & bien être";"Relooking";"";""
"Vêtements, chaussures & accessoires";"Réparation bijoux ";"Verre de montre;Pile de montre;Fermoirs griffes et attaches; Mécanisme de montre";""
"Maison & travaux";"Réparation outillage";"Caisse à outils";""
"Jardin & équipements";"Réparation outillage jardin";"Caisse à outils";""
"Smartphone & Tablette";"Réparation smartphone Apple";"Ecran LCD;Bouton home;Caméra arrière;Caméra avant;Batterie smartphone";""
"Smartphone & Tablette";"Réparation smartphone Huawei";"Ecran LCD;Bouton home;Caméra arrière;Caméra avant;Batterie smartphone";""
"Smartphone & Tablette";"Réparation smartphone Samsung";"Ecran LCD;Bouton home;Caméra arrière;Caméra avant;Batterie smartphone";""
"Smartphone & Tablette";"Réparation tablette Apple";"Ecran LCD;Bouton home;Caméra arrière;Caméra avant;Batterie smartphone";""
"Smartphone & Tablette";"Réparation tablette Samsung";"Ecran LCD;Bouton home;Caméra arrière;Caméra avant;Batterie smartphone";""
"Maison & travaux";"Revêtements & sols";"Joint;Colle;Caisse à outils;Ponceuse;Décolleuse;Croisillons;Coupe carreaux ou carrelette";""
"Maison & travaux";"Serrurerie";"Caisse à outils";""
"Evènementiel ";"Service en salle";"";""
"Animaux";"Soin des animaux";"Fer à cheval";""
"Beauté & bien être";"Soins";"Produits de soin;Serviette;Coton et démaquillant";""
"Evènementiel ";"Sommelier";"Vins;Carafe à décanter;Tire-bouchon";""
"Maison & travaux";"Soudure";"Poste à souder;Brasure";""
"Maison";"Stockage";"Cartons et protections;Camion;Emplacement de stockage";""
"Beauté & bien être";"Tatouage au henné ";"Henné";""
"High tech";"Télévision";"Caisse à outils;Vis, chevilles et écrous;Perceuse, visseuse";""
"Jardin & équipements";"Terrasse & balcon";"Caisse à outils;Produits d'entretien;Nettoyeur haute pression";""
"Jardin & équipements";"Terrassement";"Pelleteuse";""
"Animaux";"Toilettage";"Peigne et ciseaux;Shampoing;Brosse;Coupe griffes;Tondeuse";""
"Maison & travaux";"Toiture";"Echelle et escabeau;Produits d'entretien";""
"Langues";"Traduction";"";""
"Evènementiel ";"Traiteur ";"Ingrédients";""
"Conciergerie ";"Transport";"Voiture;Minibus";""
"Animaux";"Transport d'animaux";"Van;Caisse de transport";""
"Vêtements, chaussures & accessoires";"Vêtement sur mesure";"Machine à coudre;Fil et aiguilles; Fermeture;Tissu;Bouton";""
"Evènementiel ";"Video";"Caméra;Ordinateur";""
"Animaux";"Visite à domicile";"Brosse";""
"Maison & travaux";"Vitrerie";"Pistolet et silicone;Caisse à outils ";""
"Evènementiel ";"Voyage";"";""
"Beauté & bien être";"Voyance et astrologie";"";""
"Maison & travaux";"Zinguerie";"Echelle et escabeau;Produits d'entretien";""
