_id;Service;Prestations;Methode;Option;Supplément 1;Supplément 2
5d66a11808b3d612bd0865b3;Apprentissage langues;Cours d'arabe;"par prestation;de l'heure";"alfred;client;visio";Forfait frais de déplacement;
5d66a11808b3d612bd0865b0;Assistance smartphone & tablette;Prise en main mobile (android ou iphone);par prestation;"alfred;client;visio";Forfait frais de déplacement;
5d66a11808b3d612bd0865af;Atelier bijoux;Cours création bijoux tissage;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865b1;Atelier bijoux;Cours création bijoux FIMO;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865b2;Atelier bijoux;Cours création bijoux perles & breloques;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865b4;Atelier confection;Atelier confection poudre matifiante;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865b5;Atelier confection;Atelier confection rouge à lèvres;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865b6;Atelier confection;Atelier confection gloss à lèvres;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865b7;Atelier confection;Atelier confection baume à lèvres;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865b8;Atelier confection;Atelier confection vernis à ongles;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865b9;Atelier confection;Atelier confection poudre du soleil;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865ba;Atelier confection;Atelier confection eye liner;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865bb;Atelier confection;Atelier confection shampoing sec;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865bc;Atelier confection;Atelier confection mascara;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865bd;Atelier confection;Atelier confection crème corps;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865be;Atelier confection;Atelier confection gommage visage;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865bf;Atelier confection;Atelier confection savon mains;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865c0;Atelier confection;Atelier confection lotion après soleil;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865c1;Atelier confection;Atelier confection crème visage;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865c2;Atelier confection;Atelier confection gommage corps;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865c3;Atelier confection;Atelier confection masque visage;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865c4;Atelier confection;Atelier confection masque cheveux;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865c5;Atelier confection;Atelier confection sérum yeux;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865c6;Atelier confection;Atelier confection bombe de bain;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865c7;Atelier confection;Atelier confection dentifrice;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865c8;Atelier confection;Atelier confection nettoyant visage;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865c9;Atelier confection;Atelier confection crème anti-moustique;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865ca;Atelier confection;Atelier confection soin cheveux;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865cb;Atelier confection;Atelier confection sel de bain;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865cc;Atelier confection;Atelier confection lait démaquillant visage;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
