Catégories,Tags catégorie,Description catégorie,Services,Tag Services,Description service,Filtre présentation,Prestation,Tags prestation,Option,Métier,Equipement,Facturation,Calculateur, , , , , , , , , , , , , , , , , , 
Langues,,,Apprentissage langues,,,,Cours de néerlandais,,,Professeur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Langues,,,Apprentissage langues,,,,Cours de portugais,,,Professeur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Langues,,,Apprentissage langues,,,,Cours de russe,,,Professeur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Langues,,,Apprentissage langues,,,,Cours d'espagnol,,,Professeur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Langues,,,Apprentissage langues,,,,Cours d'italien,,,Professeur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Langues,,,Apprentissage langues,,,,Cours de français,,,Professeur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Langues,,,Apprentissage langues,,,,Cours de grec,,,Professeur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Langues,,,Apprentissage langues,,,,Cours de latin,,,Professeur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Langues,,,Apprentissage langues,,,,Cours de serbe,,,Professeur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Langues,,,Apprentissage langues,,,,Cours de mandarin,,,Professeur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Langues,,,Apprentissage langues,,,,Cours langue des signes,,,Professeur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Smartphone & Tablette,,,Assistance smartphone & tablette,,,,Prise en main mobile (android ou iphone),,,Infomaticien,,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier bijoux,,,,Cours création bijoux perles & breloques,,,,Pâte fimo;Fermoirs griffes et attaches;Pinces;Perles et fils,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier bijoux,,,,Cours création bijoux FIMO,,,,Pâte fimo;Fermoirs griffes et attaches;Pinces;Perles et fils,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier bijoux,,,,Cours création bijoux tissage,,,,Pâte fimo;Fermoirs griffes et attaches;Pinces;Perles et fils,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection poudre matifiante,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection rouge à lèvres,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection baume à lèvres,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection gloss à lèvres,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection poudre du soleil,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection vernis à ongles,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection shampoing sec,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection eye liner,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection mascara,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection savon mains,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection gommage corps,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection gommage visage,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection crème visage,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection crème corps,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection bombe de bain,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection masque visage,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection sérum yeux,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection lotion après soleil,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection masque cheveux,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection crème anti-moustique,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection dentifrice,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection soin cheveux,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection nettoyant visage,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection sel de bain,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection lait démaquillant visage,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection patch anti points noirs,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection parfums,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection gel après rasage,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection lingette démaquillante lavable,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection démélant cheveux,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection gel coiffant,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection anti-poux,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection lessive,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection dégraissant multi surface,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection détachant,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection pastilles lave-vaisselle,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection liquide vaisselle,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection lave vitre,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier confection,,,,Atelier confection désodorisant intérieur,,,,Produits atelier,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier couture & broderie,,,,Cours de crochet,,,Couturier,Crochets;Fil et aiguilles;Machine à coudre,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier couture & broderie,,,,Cours de tricot,,,Couturier,Crochets;Fil et aiguilles;Machine à coudre,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier couture & broderie,,,,Cours de canevas,,,Couturier,Crochets;Fil et aiguilles;Machine à coudre,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier couture & broderie,,,,Cours de couture,,,Couturier,Crochets;Fil et aiguilles;Machine à coudre,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier couture & broderie,,,,Cours de broderie,,,Couturier,Crochets;Fil et aiguilles;Machine à coudre,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier décoration,,,,Cours de mosaïque,,,,Colle;Pinceaux;Matériel de poterie,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier décoration,,,,Scrapbooking,,,,Colle;Pinceaux;Matériel de poterie,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier décoration,,,,Décopatch,,,,Colle;Pinceaux;Matériel de poterie,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier décoration,,,,Pliages ,,,,Colle;Pinceaux;Matériel de poterie,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Loisirs créatifs,,,Atelier décoration,,,,Poterie,,,,Colle;Pinceaux;Matériel de poterie,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Beauté & bien être,,,Barbier,,,,Taille de barbe simple,,,Barbier,Couteau de barbier;Tondeuse;Mousse à raser;Produits techniques;Produits soin barbe,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Beauté & bien être,,,Barbier,,,,Taille de barbe travaillée,,,Barbier,Couteau de barbier;Tondeuse;Mousse à raser;Produits techniques;Produits soin barbe,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Beauté & bien être,,,Barbier,,,,Taille de barbe avec soins,,,Barbier,Couteau de barbier;Tondeuse;Mousse à raser;Produits techniques;Produits soin barbe,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Beauté & bien être,,,Barbier,,,,Teinture de barbe,,,Barbier,Couteau de barbier;Tondeuse;Mousse à raser;Produits techniques;Produits soin barbe,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Beauté & bien être,,,Barbier,,,,Rasage à l'ancienne avec soins,,,Barbier,Couteau de barbier;Tondeuse;Mousse à raser;Produits techniques;Produits soin barbe,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Beauté & bien être,,,Beauté des mains et pieds,,,Mains,Soin des ongles et pose de vernis,,,Esthéticienne,Lampe à UV;Nail art;Vernis gels capsules,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Beauté & bien être,,,Beauté des mains et pieds,,,Mains,Pose complète d'ongles en résine + pose d'un vernis,,,Esthéticienne,Lampe à UV;Nail art;Vernis gels capsules,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Beauté & bien être,,,Beauté des mains et pieds,,,Mains,Pose complète d'ongles en résine  + French manucure,,,Esthéticienne,Lampe à UV;Nail art;Vernis gels capsules,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Beauté & bien être,,,Beauté des mains et pieds,,,Mains,Remplissage de résine + pose d'un vernis,,,Esthéticienne,Lampe à UV;Nail art;Vernis gels capsules,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Beauté & bien être,,,Beauté des mains et pieds,,,Mains,Remplissage de résine + French manucure,,,Esthéticienne,Lampe à UV;Nail art;Vernis gels capsules,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Beauté & bien être,,,Beauté des mains et pieds,,,Mains,Pose complète d'ongles en gel + pose d'un vernis,,,Esthéticienne,Lampe à UV;Nail art;Vernis gels capsules,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Beauté & bien être,,,Beauté des mains et pieds,,,Mains,Pose complète d'ongles + French manucure,,,Esthéticienne,Lampe à UV;Nail art;Vernis gels capsules,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Beauté & bien être,,,Beauté des mains et pieds,,,Mains,Remplissage de gel + pose d’un vernis,,,Esthéticienne,Lampe à UV;Nail art;Vernis gels capsules,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Beauté & bien être,,,Beauté des mains et pieds,,,Mains,Remplissage de gel + French manucure,,,Esthéticienne,Lampe à UV;Nail art;Vernis gels capsules,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Beauté & bien être,,,Beauté des mains et pieds,,,Mains,Dépose Gel / résine,,,Esthéticienne,Lampe à UV;Nail art;Vernis gels capsules,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Beauté & bien être,,,Beauté des mains et pieds,,,Mains,Supplément capsules,,,Esthéticienne,Lampe à UV;Nail art;Vernis gels capsules,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Beauté & bien être,,,Beauté des mains et pieds,,,Mains,Supplément chablon,,,Esthéticienne,Lampe à UV;Nail art;Vernis gels capsules,par prestation,Nombre,,,,,,,,,,,,,,,,,,
