categorie;service;prestation;eligible_cesu;privée
Beauté & bien-être;Maquillage;Cours d'auto maquillage ;0;1
Beauté & bien-être;Maquillage;Cours d'auto maquillage ;0;1
Beauté & bien-être;Maquillage;Cours d'auto maquillage ;0;1
Beauté & bien-être;Maquillage;Cours d'auto maquillage ;0;1
Beauté & bien-être;Maquillage;Cours d'auto maquillage ;0;1
Beauté & bien-être;Maquillage;Cours d'auto maquillage ;0;1
Beauté & bien-être;Maquillage;Cours de maquillage;0;1
Beauté & bien-être;Maquillage;Cours d’auto maquillage ;0;1
Beauté & bien-être;Maquillage;Extension de cils;0;0
Beauté & bien-être;Maquillage;Extensions de cils : Première pose;0;1
Beauté & bien-être;Maquillage;Maquillage Semi permanent;0;1
Beauté & bien-être;Maquillage;Maquillage Simple ;0;1
Beauté & bien-être;Maquillage;Maquillage fillette ;0;1
Beauté & bien-être;Maquillage;Maquillage flash ;0;1
Beauté & bien-être;Maquillage;Maquillage flash ;0;1
Beauté & bien-être;Maquillage;Maquillage flash ;0;1
Beauté & bien-être;Maquillage;Maquillage flash ;0;1
Beauté & bien-être;Maquillage;Maquillage flash ;0;1
Beauté & bien-être;Maquillage;Maquillage flash ;0;1
Beauté & bien-être;Maquillage;Maquillage flash ;0;1
Beauté & bien-être;Maquillage;Maquillage flash ;0;1
Beauté & bien-être;Maquillage;Maquillage flash ;0;1
Beauté & bien-être;Maquillage;Maquillage flash ;0;1
Beauté & bien-être;Maquillage;Maquillage flash ;0;1
Beauté & bien-être;Maquillage;Maquillage flash ;0;1
Beauté & bien-être;Maquillage;Maquillage flash ;0;1
Beauté & bien-être;Maquillage;Maquillage flash ;0;1
Beauté & bien-être;Maquillage;Maquillage flash ;0;1
Beauté & bien-être;Maquillage;Maquillage gala ;0;1
Beauté & bien-être;Maquillage;Maquillage invité/événement ;0;1
Beauté & bien-être;Maquillage;Maquillage invitée;0;1
Beauté & bien-être;Maquillage;Maquillage jour;0;1
Beauté & bien-être;Maquillage;Maquillage jour ;0;1
Beauté & bien-être;Maquillage;Maquillage jour avec base ;0;1
Beauté & bien-être;Maquillage;Maquillage mariée;0;0
Beauté & bien-être;Maquillage;Maquillage mariée avec un essai compris ;0;1
Beauté & bien-être;Maquillage;Maquillage soir avec fixateur ;0;1
Beauté & bien-être;Maquillage;Maquillage soirée ou évènement;0;0
Beauté & bien-être;Maquillage;Mariée avec essai;0;0
Beauté & bien-être;Maquillage;Permanente des cils;0;0
Beauté & bien-être;Maquillage;Rehaussement de cils avec teinture;0;1
Beauté & bien-être;Maquillage;Rehaussement et teinture cils ;0;1
Beauté & bien-être;Maquillage;Remplissage 3 semaines;0;1
Beauté & bien-être;Maquillage;Remplissage 4 semaines;0;1
Beauté & bien-être;Maquillage;Retouche 15 jours;0;1
Beauté & bien-être;Maquillage;Réhaussement des cils;0;0
Beauté & bien-être;Maquillage;Teinture cils et sourcils ;0;1
Beauté & bien-être;Maquillage;Teinture des cils;0;0
Beauté & bien-être;Maquillage;Teinture des sourcils;0;0
Beauté & bien-être;Massage;Beauté des mains et pieds;0;1
Beauté & bien-être;Massage;Combo gommage & modelage ;0;1
Beauté & bien-être;Massage;Gommage paradisiaque ;0;1
Beauté & bien-être;Massage;Massage Ayurvédique ;0;1
Beauté & bien-être;Massage;Massage amincissant;0;0
Beauté & bien-être;Massage;Massage aux pierres chaudes;0;0
Beauté & bien-être;Massage;Massage bébé ;0;1
Beauté & bien-être;Massage;Massage californien;0;0
Beauté & bien-être;Massage;Massage crânien;0;0
Beauté & bien-être;Massage;Massage du corps;0;1
Beauté & bien-être;Massage;Massage du corps ;0;1
Beauté & bien-être;Massage;Massage du dos;0;0
Beauté & bien-être;Massage;Massage découverte;0;0
Beauté & bien-être;Massage;Massage prénatal ;0;1
Beauté & bien-être;Massage;Massage prénatal ;0;1
Beauté & bien-être;Massage;Massage relaxant;0;0
Beauté & bien-être;Massage;Massage suédois/ californien;0;1
Beauté & bien-être;Massage;Massage thaï des pieds;0;1
Beauté & bien-être;Massage;Massage énergétique;0;0
Beauté & bien-être;Massage;Modelage 30 minutes;0;1
Beauté & bien-être;Massage;Modelage 45 minutes;0;1
Beauté & bien-être;Massage;Modelage 60 minutes;0;1
Beauté & bien-être;Massage;Modelage 90 minutes;0;1
Beauté & bien-être;Massage;Modelage amincissant ;0;1
Beauté & bien-être;Massage;Modelage minceur ;0;1
Beauté & bien-être;Massage;Modelage relaxant 30 min;0;1
Beauté & bien-être;Massage;Modelage rerelaxant 1H;0;1
Beauté & bien-être;Massage;Réflexologie crânienne;0;0
Beauté & bien-être;Massage;Réflexologie plantaire;0;0
Beauté & bien-être;Massage;Soin jambes lourdes 1H;0;1
Beauté & bien-être;Massage;Studio zen;0;1
Beauté & bien-être;Massage;massage du visage;0;1
Beauté & bien-être;Massage;Épilations;0;1
Beauté & bien-être;Massage;Épilations ;0;1
Beauté & bien-être;Médecine douce;2 Premières séances;0;1
Beauté & bien-être;Médecine douce;Acupuncture;0;0
Beauté & bien-être;Médecine douce;Aromathérapie;0;0
Beauté & bien-être;Médecine douce;Art thérapie;0;0
Beauté & bien-être;Médecine douce;Duo;0;1
Beauté & bien-être;Médecine douce;Enfant de 4 à 16 ans, demandeur d'emploi;0;1
Beauté & bien-être;Médecine douce;Feng shui;0;0
Beauté & bien-être;Médecine douce;Gestalthérapie;0;0
Beauté & bien-être;Médecine douce;Groupe à partir de 3 personnes;0;1
Beauté & bien-être;Médecine douce;Hypnothérapie;0;0
Beauté & bien-être;Médecine douce;Luminothérapie;0;0
Beauté & bien-être;Médecine douce;Magnétisme;0;0
Beauté & bien-être;Médecine douce;Massage bébé & Réflexologie bébé affective ;0;1
Beauté & bien-être;Médecine douce;Méditation;0;0
Beauté & bien-être;Médecine douce;Naturopathie;0;0
Beauté & bien-être;Médecine douce;Ortho-Bionomy;0;1
Beauté & bien-être;Médecine douce;Reiki;0;0
Beauté & bien-être;Médecine douce;Réflexologie;0;0
Beauté & bien-être;Médecine douce;Shiatsu;0;0
Beauté & bien-être;Médecine douce;Sophrologie;0;0
Beauté & bien-être;Médecine douce;Tai-chi-chuan;0;0
Beauté & bien-être;Médecine douce;Visite exterieure EHPAD, Domicile, Personne Hospitalisé;0;1
Beauté & bien-être;Relooking;Brushing vapeur ;0;1
Beauté & bien-être;Relooking;Dépose manucure ;0;1
Beauté & bien-être;Relooking;Forfait Mirroir;0;1
Beauté & bien-être;Relooking;Maquillage nude/de tout les jour ;0;1
Beauté & bien-être;Relooking;Maquillage soirée fête mariage ...;0;1
Beauté & bien-être;Relooking;Personal shopper;0;0
Beauté & bien-être;Relooking;Pose vernis semi permanent ;0;1
Beauté & bien-être;Relooking;Pose vernis semi permanent (french);0;1
Beauté & bien-être;Relooking;Relooking total;0;0
Beauté & bien-être;Relooking;Soin Massage des main/cuticules ;0;1
Beauté & bien-être;Relooking;Styliste;0;0
Beauté & bien-être;Relooking;Épilation Laser définitive Barbe/Moustache;0;1
Beauté & bien-être;Relooking;Épilation Laser définitive dos;0;1
Beauté & bien-être;Relooking;Épilation cire 2 demi jambes;0;1
Beauté & bien-être;Relooking;Épilation cire 2 jambes entières;0;1
Beauté & bien-être;Relooking;Épilation cire aisselles ;0;1
Beauté & bien-être;Relooking;Épilation cire moustache ;0;1
Beauté & bien-être;Relooking;Épilation laser définitive 2 demi jambes;0;1
Beauté & bien-être;Relooking;Épilation laser définitive 2 jambes entières;0;1
Beauté & bien-être;Relooking;Épilation laser définitive Intégrale  ;0;1
Beauté & bien-être;Relooking;Épilation laser définitive aisselles ;0;1
Beauté & bien-être;Relooking;Épilation laser définitive maillot ;0;1
Beauté & bien-être;Relooking;Épilation laser définitive part zone;0;1
Beauté & bien-être;Relooking;Épilation laser définitive ventre  ;0;1
Beauté & bien-être;Relooking;Épilation laser définitive visage par zone ;0;1
Beauté & bien-être;Soins;Bb glow visage ;0;1
Beauté & bien-être;Soins;Beauté des mains;0;1
Beauté & bien-être;Soins;Beauté des mains express ;0;1
Beauté & bien-être;Soins;Beauté des pieds;0;1
Beauté & bien-être;Soins;Beauté du regard cil mixte ;0;1
Beauté & bien-être;Soins;Beauté du regard cil à cil;0;1
Beauté & bien-être;Soins;Beauté du regard volume russe ;0;1
Beauté & bien-être;Soins;Extensions de cils : Première pose ;0;1
Beauté & bien-être;Soins;Gommage corps 30 min;0;1
Beauté & bien-être;Soins;Gommage corps plus modelage détente 1h15;0;1
Beauté & bien-être;Soins;Maquillage jour avec base ;0;1
Beauté & bien-être;Soins;Maquillage mariée avec un essai compris;0;1
Beauté & bien-être;Soins;Maquillage soir avec fixateur;0;1
Beauté & bien-être;Soins;Microneedling;0;0
Beauté & bien-être;Soins;Microneedling ;0;1
Beauté & bien-être;Soins;Microneedling et bb glow;0;1
Beauté & bien-être;Soins;Modelage detente ;0;1
Beauté & bien-être;Soins;Modelage dos ou corps 30 min;0;1
Beauté & bien-être;Soins;Modelage relaxant 1h00;0;1
Beauté & bien-être;Soins;Nettoyage de peau ;0;1
Beauté & bien-être;Soins;Peeling;0;0
Beauté & bien-être;Soins;Pose semi permanent ;0;1
Beauté & bien-être;Soins;Rehaussement et teinture cils ;0;1
Beauté & bien-être;Soins;Soin anti-âge;0;0
Beauté & bien-être;Soins;Soin contour des yeux;0;0
Beauté & bien-être;Soins;Soin corps détente ;0;1
Beauté & bien-être;Soins;Soin du dos ;0;1
Beauté & bien-être;Soins;Soin du visage;0;1
Beauté & bien-être;Soins;Soin du visage purifiant express ;0;1
Beauté & bien-être;Soins;Soin hydratant;0;0
Beauté & bien-être;Soins;Soin luminothérapie ;0;1
Beauté & bien-être;Soins;Soin peau mixte ;0;1
Beauté & bien-être;Soins;Soin peau revitalisant ;0;1
Beauté & bien-être;Soins;Soin premiers signes de l’âge ;0;1
Beauté & bien-être;Soins;Soin purifiant;0;0
Beauté & bien-être;Soins;Soin réhydratant ;0;1
Beauté & bien-être;Soins;Soin à la bougie ;0;1
Beauté & bien-être;Soins;Soin éclat;0;0
Beauté & bien-être;Soins;Soin éclat ;0;1
Beauté & bien-être;Soins;Soins visage spécifique ;0;1
Beauté & bien-être;Soins;Teinture cils ;0;1
Beauté & bien-être;Soins;Teinture cils et sourcils ;0;1
Beauté & bien-être;Soins;Teinture sourcils ;0;1
Beauté & bien-être;Soins;pose de vernis semi permanent;0;1
Beauté & bien-être;Soins;prothesiste ongulaire;0;1
Beauté & bien-être;Soins;Épilation sourcils ;0;1
Beauté & bien-être;Tatouage au henné;Déco personnalisé;0;1
Beauté & bien-être;Tatouage au henné;Tatouage bras entier ;0;1
Beauté & bien-être;Tatouage au henné;Tatouage henné main jusqu'au coude 2 faces;0;0
Beauté & bien-être;Tatouage au henné;Tatouage henné main jusqu'au poignet 1 face;0;0
Beauté & bien-être;Tatouage au henné;Tatouage henné main jusqu'au poignet 2 faces;0;0
Beauté & bien-être;Tatouage au henné;Tatouage henné pied jusque cheville;0;0
Beauté & bien-être;Tatouage au henné;Tatouage henné pied jusque genou;0;0
Beauté & bien-être;Tatouage au henné;Tatouage main - avant bras ;0;1
Beauté & bien-être;Tatouage au henné;Tatouage main chargée ;0;1
Beauté & bien-être;Tatouage au henné;Tatouage main jusqu'au coude 1 face;0;0
Beauté & bien-être;Tatouage au henné;Tatouage main simple ;0;1
Beauté & bien-être;Tatouage au henné;Tatouage pied chargé;0;1
Beauté & bien-être;Tatouage au henné;Tatouage pied simple ;0;1
Beauté & bien-être;Voyance et astrologie;Astrologie;0;0
Beauté & bien-être;Voyance et astrologie;Magnétisseuse;0;1
Beauté & bien-être;Voyance et astrologie;Numérologie;0;0
Beauté & bien-être;Voyance et astrologie;Posez  votre question ;0;1
Beauté & bien-être;Voyance et astrologie;Voyance;0;0
Conciergerie;Conciergerie Airbnb;Arrivée-accueil, remise des clés et conseils;0;0
Conciergerie;Conciergerie Airbnb;Blanchisserie - lavage et remplacement des draps;1;0
Conciergerie;Conciergerie Airbnb;Départ-reprise clés et checkout;1;0
Conciergerie;Conciergerie Airbnb;Ménage après location;1;0
Conciergerie;Conciergerie administrative;Création et renouvellement de visa;1;0
Conciergerie;Conciergerie administrative;Création ou renouvellement de carte grise;1;0
Conciergerie;Conciergerie administrative;Création ou renouvellement de passeport et carte d'identité;1;0
Conciergerie;Dépot & retrait;Dépôt et retrait de clés et chaussures chez le cordonnier;1;0
Conciergerie;Dépot & retrait;Dépôt et retrait de colis à la poste et point relais;1;0
Conciergerie;Dépot & retrait;Dépôt et retrait de linge au pressing;1;0
Conciergerie;Dépot & retrait;Dépôt et retrait de vêtements chez le couturier;1;0
Conciergerie;Dépot & retrait;Livraison et retrait meuble;1;0
Conciergerie;Dépot & retrait;Retrait de courses et livraison;1;0
Conciergerie;Dépot & retrait;Retrait de meubles et livraison;0;0
Conciergerie;Services de sépulture et tombes;Entretien des sépultures;0;0
Conciergerie;Services de sépulture et tombes;Entretien sépulture;0;1
Conciergerie;Services de sépulture et tombes;Entretien sépulture;0;1
Conciergerie;Services de sépulture et tombes;Entretien sépulture;0;1
Conciergerie;Services de sépulture et tombes;"Entretien sépulture ""base""";0;1
Conciergerie;Services de sépulture et tombes;Entretien sépulture complete;0;1
Conciergerie;Services de sépulture et tombes;Entretien sépulture standard;0;1
Conciergerie;Services de sépulture et tombes;Fleurissement des tombes;0;0
Conciergerie;Services de sépulture et tombes;Gravure de tombe;0;0
Conciergerie;Services de sépulture et tombes;Rénovation des gravures de pierre tombale;0;0
Conciergerie;Services de sépulture et tombes;réfection Gravure feuille d'or;0;1
Conciergerie;Services de sépulture et tombes;réfection Gravure peinture blanche;0;1
Conciergerie;Transport; déménagement ;1;1
Conciergerie;Transport;Chauffeur;1;0
Conciergerie;Transport;Chauffeur avec limousine;0;0
Conciergerie;Transport;Transfert aéroport;1;0
Conciergerie;Transport;Transport ;1;1
Conciergerie;Transport;Transport de groupe 12 places;0;0
Conciergerie;Transport;Transport de groupe 15 places;0;0
Conciergerie;Transport;Transport de groupe 6 places;0;0
Conciergerie;Transport;Transport de groupe 9 places;0;0
Conciergerie;Transport;Transport d’articles en tout genre : meubles, courses, achats, ‘ous faisons aussi tous types de courses pour les personnes ne pouvant pas sortir de chez elles;1;1
Conciergerie;Transport;demenagement;1;1
Conseil & administratif;Conseil, consulting et secrétariat;Avocat;0;0
Conseil & administratif;Conseil, consulting et secrétariat;Conseil en crédit;0;0
Conseil & administratif;Conseil, consulting et secrétariat;Conseil en patrimoine;0;0
Conseil & administratif;Conseil, consulting et secrétariat;Conseiller personnel;0;0
Conseil & administratif;Conseil, consulting et secrétariat;Conseils en assurance;0;0
Conseil & administratif;Conseil, consulting et secrétariat;Conseils en comptabilité;0;0
Conseil & administratif;Conseil, consulting et secrétariat;Conseils en expertise de biens;0;0
Conseil & administratif;Conseil, consulting et secrétariat;Conseils financiers;0;0
Conseil & administratif;Conseil, consulting et secrétariat;Conseils fiscaux;0;0
Conseil & administratif;Conseil, consulting et secrétariat;Conseils juridiques;0;0
Conseil & administratif;Conseil, consulting et secrétariat;Consultant en développement de projets ;0;1
Conseil & administratif;Conseil, consulting et secrétariat;Correction/Rédaction de documents divers;0;1
Conseil & administratif;Conseil, consulting et secrétariat;Détective privée;0;0
Conseil & administratif;Conseil, consulting et secrétariat;Généalogie;0;0
Conseil & administratif;Conseil, consulting et secrétariat;Recherche achat maison ou appartement;0;0
Conseil & administratif;Conseil, consulting et secrétariat;Recherche location maison ou appartement;0;0
Conseil & administratif;Conseil, consulting et secrétariat;Recherche vente maison ou appartement;0;0
Conseil & administratif;Conseil, consulting et secrétariat;Secrétariat;0;0
Conseil & administratif;Conseil, consulting et secrétariat;Stratégie Digitale;0;1
Conseil & administratif;Conseil, consulting et secrétariat;Stratégie Digitale;0;1
Conseil & administratif;Construction immobilière;Aménagements intérieurs en 3D;0;1
Conseil & administratif;Construction immobilière;Bonjour  🏢🏗 Nous sommes une entreprise générale de bâtiment [Masqué]  vous propose des prestations diverses. Nous vous accompagnons dans vos travaux de construction, et de rénovation générale.Nous sommes spécialisés en : * Construction maison  * Peinture * Ravalement  * Terrassement * Couverture * Gros œuvre * Fondation * Électricité  * Plomberie  * Isolations  * Charpente * Couverture  * Étanchéité  * Maçonnerie * Aménagement intérieur * Extension maison  * Démolition  * Ravalement  * Bardage * Carrelage  * Parquets  * Faïence * Déconstruction  * Menuiserie intérieur * Menuisier extérieur * Chauffage climatisation ventilation .  * Tous les travaux s’effectuent dans le respect des normes, et en fonction de vos exigences. Notre grande expérience figure parmi nos meilleurs atouts. Nous mettons également à votre disposition tout notre savoir-faire. Nous pouvons ainsi répondre à tous les types de demandes, et garantir la satisfaction de nos clients.  M.STÉPHANE : Responsable chez CRK Tel: [Masqué] E-mail: [Masqué];0;1
Conseil & administratif;Construction immobilière;Constitution dossier permis de construire;0;0
Conseil & administratif;Construction immobilière;Plaquiste jointeur peintre ;0;1
Conseil & administratif;Construction immobilière;dossier de permis de construire;0;1
Conseil & administratif;Construction immobilière;déclaration préalable de travaux;0;1
Conseil & administratif;Construction immobilière;permis de démolir;0;1
Conseil & administratif;Gestion immobilière;Estimation de bien;0;0
Conseil & administratif;Gestion immobilière;Réalisation d'état des lieux;0;0
Conseil & administratif;Gestion immobilière;Syndic non professionnel;0;0
Cours scolaire;Cours culturel;COURS de dessin ;1;1
Cours scolaire;Cours culturel;Cours de culture générale;1;1
Cours scolaire;Cours culturel;Cours de guitare;1;1
Cours scolaire;Cours culturel;Création bougie ronde personnalisée;0;0
Cours scolaire;Cours culturel;Enseignement culturel;1;0
Cours scolaire;Cours d'enseignement supérieur;Aide aux devoirs : TD-DM-QCM ;1;1
Cours scolaire;Cours d'enseignement supérieur;COURS DE PREPARATION AU CONCOURS ADMINISTRATIF NOTE DE SYNTHESE ET ORAL ;1;1
Cours scolaire;Cours d'enseignement supérieur;COURS licence;1;1
Cours scolaire;Cours d'enseignement supérieur;Chimie ;1;1
Cours scolaire;Cours d'enseignement supérieur;Cour de droit des contrats;1;0
Cours scolaire;Cours d'enseignement supérieur;Cour droit du travail;1;1
Cours scolaire;Cours d'enseignement supérieur;Cours d'économie;1;1
Cours scolaire;Cours d'enseignement supérieur;Cours d'économie ;1;0
Cours scolaire;Cours d'enseignement supérieur;Cours de communication;1;0
Cours scolaire;Cours d'enseignement supérieur;Cours de comptabilité ;1;1
Cours scolaire;Cours d'enseignement supérieur;Cours de comptabilité analytique;1;0
Cours scolaire;Cours d'enseignement supérieur;Cours de comptabilité générale;1;0
Cours scolaire;Cours d'enseignement supérieur;Cours de droit constitutionnel et procédure pénale aux examens ;1;1
Cours scolaire;Cours d'enseignement supérieur;Cours de droit de la responsabilité civile;1;0
Cours scolaire;Cours d'enseignement supérieur;Cours de droit privé général (biens, famille, personne, contrats, obligations, sûretés, etc);1;1
Cours scolaire;Cours d'enseignement supérieur;Cours de droit pénal général;1;0
Cours scolaire;Cours d'enseignement supérieur;Cours de droit pénal spécial;1;0
Cours scolaire;Cours d'enseignement supérieur;Cours de droits des contrats spéciaux;1;0
Cours scolaire;Cours d'enseignement supérieur;Cours de grammaire, traduction et aide aux spécialistes et non-spécialistes (llce espagnol ou étudiants universitaires);1;1
Cours scolaire;Cours d'enseignement supérieur;Cours de marketing;1;0
Cours scolaire;Cours d'enseignement supérieur;Cours de maths enseignement supérieur;1;1
Cours scolaire;Cours d'enseignement supérieur;Cours de mathématiques ;1;1
Cours scolaire;Cours d'enseignement supérieur;Cours de procédure pénale;1;0
Cours scolaire;Cours d'enseignement supérieur;Cours de régime général des obligations;1;0
Cours scolaire;Cours d'enseignement supérieur;Cours de sciences politiques;1;1
Cours scolaire;Cours d'enseignement supérieur;Cours de sociologie;1;1
Cours scolaire;Cours d'enseignement supérieur;Cours en Licence de biologie;1;1
Cours scolaire;Cours d'enseignement supérieur;Cours particuliers de Maths;1;1
Cours scolaire;Cours d'enseignement supérieur;Cours soutien et préparation PASS, 1ère année de médecine;1;1
Cours scolaire;Cours d'enseignement supérieur;Formation LATEX;1;1
Cours scolaire;Cours d'enseignement supérieur;cours chimie IUT BTS prépas scientifiques PASS L.AS;1;1
Cours scolaire;Cours d'enseignement supérieur;cours de maths-physique-chimie Licence/Prepa/BTS/DUT;1;1
Cours scolaire;Cours d'enseignement supérieur;cours de mathématiques;1;1
Cours scolaire;Cours d'enseignement supérieur;cours physique IUT BTS Prépas scientifiques PASS L.AS;1;1
Cours scolaire;Cours d'enseignement supérieur;cours physqcours physique chimie BTS IUT prépas scientifiques ientifique;1;1
Cours scolaire;Cours niveau primaire;Aide aux devoirs;1;1
Cours scolaire;Cours niveau primaire;Cours allemand ;1;1
Cours scolaire;Cours niveau primaire;Cours d'anglais;1;0
Cours scolaire;Cours niveau primaire;Cours d'histoire-géographie;1;0
Cours scolaire;Cours niveau primaire;Cours de français;1;0
Cours scolaire;Cours niveau primaire;Cours de mathématiques;1;0
Cours scolaire;Cours niveau primaire;Cours de sciences expérimentales;1;0
Cours scolaire;Cours niveau primaire;Cours d’allemand;1;1
Cours scolaire;Cours niveau primaire;Cours d’allemand ;1;1
Cours scolaire;Cours niveau primaire;Cours particulier et soutien scolaire;1;1
Cours scolaire;Cours niveau primaire;Soutien scolaire collège Histoire-Anglais;1;1
Cours scolaire;Cours niveau primaire;Soutien scolaire primaire;1;0
Cours scolaire;Cours niveau primaire;contrôle fait maison;1;1
Cours scolaire;Cours niveau secondaire;Aide aux devoirs ;1;1
Cours scolaire;Cours niveau secondaire;Aide aux devoirs - Matières littéraires;1;1
Cours scolaire;Cours niveau secondaire;Aide et soutien en continu mathématique;1;1
Cours scolaire;Cours niveau secondaire;Cours d'allemand;1;0
Cours scolaire;Cours niveau secondaire;Cours d'anglais;1;0
Cours scolaire;Cours niveau secondaire;Cours d'espagnol;1;0
Cours scolaire;Cours niveau secondaire;Cours d'histoire-géographie;1;0
Cours scolaire;Cours niveau secondaire;Cours d'informatique;1;0
Cours scolaire;Cours niveau secondaire;Cours d'économie;1;1
Cours scolaire;Cours niveau secondaire;Cours de Comptabilité;1;1
Cours scolaire;Cours niveau secondaire;Cours de Mathématiques ;1;1
Cours scolaire;Cours niveau secondaire;Cours de SES;1;1
Cours scolaire;Cours niveau secondaire;Cours de biologie;1;0
Cours scolaire;Cours niveau secondaire;Cours de chimie;1;0
Cours scolaire;Cours niveau secondaire;Cours de chinois;1;1
Cours scolaire;Cours niveau secondaire;Cours de français;1;0
Cours scolaire;Cours niveau secondaire;Cours de géologie ;1;1
Cours scolaire;Cours niveau secondaire;Cours de maths collège;1;1
Cours scolaire;Cours niveau secondaire;Cours de mathématiques;1;0
Cours scolaire;Cours niveau secondaire;Cours de mathématiques niveau collège ;1;1
Cours scolaire;Cours niveau secondaire;Cours de mathématiques niveau lycée ;1;1
Cours scolaire;Cours niveau secondaire;Cours de mathématiques, svt , physique chimie ;1;1
Cours scolaire;Cours niveau secondaire;Cours de mécanique;1;1
Cours scolaire;Cours niveau secondaire;Cours de philosophie;1;0
Cours scolaire;Cours niveau secondaire;Cours de physique;1;0
Cours scolaire;Cours niveau secondaire;Cours de russe;1;1
Cours scolaire;Cours niveau secondaire;Cours d’italien;1;1
Cours scolaire;Cours niveau secondaire;Cours niveau primaire;1;1
Cours scolaire;Cours niveau secondaire;Cours particuliers diverses matières;1;1
Cours scolaire;Cours niveau secondaire;Cours particuliers diverses matières;1;1
Cours scolaire;Cours niveau secondaire;Cours particuliers toutes matières;1;1
Cours scolaire;Cours niveau secondaire;Culture générale, méthodologie, etc...;1;1
Cours scolaire;Cours niveau secondaire;Economie;1;1
Cours scolaire;Cours niveau secondaire;Eloquence et expression orale;1;1
Cours scolaire;Cours niveau secondaire;Littérature ;1;1
Cours scolaire;Cours niveau secondaire;Littérature anglaise ;1;1
Cours scolaire;Cours niveau secondaire;Maths Finances;1;1
Cours scolaire;Cours niveau secondaire;Méthodologie;1;1
Cours scolaire;Cours niveau secondaire;Méthodologie dans le travail;1;1
Cours scolaire;Cours niveau secondaire;N'importe quel cours jusqu'au lycée qui fait partie des trois filières principales;1;1
Cours scolaire;Cours niveau secondaire;Orientation & Études;1;1
Cours scolaire;Cours niveau secondaire;Programme de remise à niveau sur 2 mois mathématique;1;1
Cours scolaire;Cours niveau secondaire;Soutien scolaire ;1;1
Cours scolaire;Cours niveau secondaire;Suivi de Scolarité;1;1
Cours scolaire;Cours niveau secondaire;coucours première maths physique;1;1
Cours scolaire;Cours niveau secondaire;cours d'électronique;1;1
Cours scolaire;Cours niveau secondaire;cours d'électrotechnique;1;1
Cours scolaire;Cours niveau secondaire;cours particuliers et soutien scolaire;1;1
Cours scolaire;Cours niveau secondaire;cours première maths physique chimie;1;1
Cours scolaire;Cours niveau secondaire;cours scours seconde maths physique;1;1
Cours scolaire;Cours niveau secondaire;cours seconde maths physique chimie;1;1
Cours scolaire;Cours niveau secondaire;cours tecours terminale maths physique;1;1
Cours scolaire;Cours niveau secondaire;cours terminale maths physique chimie;1;1
Cours scolaire;Cours niveau secondaire;cours terminale spé physique chimie;1;1
Cuisine & vins;Cours d'oenologie & bierologie;Bierologie;0;0
Cuisine & vins;Cours d'oenologie & bierologie;Cours d'œnologie;0;0
Cuisine & vins;Cours d'oenologie & bierologie;Fabrication de bières artisanales;0;1
Cuisine & vins;Cours d'oenologie & bierologie;Initiation au brassage bière;0;0
Cuisine & vins;Cours de cuisine;Atelier poisson & crustacés;0;0
Cuisine & vins;Cours de cuisine;Atelier viandes et grillades;0;0
Cuisine & vins;Cours de cuisine;Atelier végan;0;0
Cuisine & vins;Cours de cuisine;Cours boulangerie;1;0
Cuisine & vins;Cours de cuisine;Cours cuisine asiatique;1;0
Cuisine & vins;Cours de cuisine;Cours cuisine bistrot;1;0
Cuisine & vins;Cours de cuisine;Cours cuisine française;1;0
Cuisine & vins;Cours de cuisine;Cours cuisine indienne;1;0
Cuisine & vins;Cours de cuisine;Cours cuisine italienne;1;0
Cuisine & vins;Cours de cuisine;Cours cuisine orientale;1;0
Cuisine & vins;Cours de cuisine;Cours plats en sauce;1;0
Cuisine & vins;Cours de cuisine;Cours sushis makis;1;0
Cuisine & vins;Cours de cuisine;Cours tapas & apéritif;1;0
Cuisine & vins;Cours de cuisine;atelier enfant: cuisiner ses goûters;1;1
Cuisine & vins;Cours de pâtisserie;Atelier choux & cannelés;1;0
Cuisine & vins;Cours de pâtisserie;Atelier fruits;1;0
Cuisine & vins;Cours de pâtisserie;Atelier glaces;1;0
Cuisine & vins;Cours de pâtisserie;Atelier macaron;1;0
Cuisine & vins;Cours de pâtisserie;Atelier meringue;1;0
Cuisine & vins;Cours de pâtisserie;Atelier mousse;1;0
Cuisine & vins;Cours de pâtisserie;Atelier pâtisseries orientales;1;0
Cuisine & vins;Cours de pâtisserie;Atelier tarte;1;0
Cuisine & vins;Cours de pâtisserie;Atelier tout chocolat;1;0
Cuisine & vins;Cours de pâtisserie;Cours viennoiserie;1;0
Cuisine & vins;Création de gâteaux;Création cake design;0;0
Cuisine & vins;Création de gâteaux;Création number cake ;0;0
Cuisine & vins;Création de gâteaux;Création wedding cake;0;0
Cuisine & vins;Création de gâteaux;Cupcake personnalisé ;0;0
Cuisine & vins;Création de gâteaux;Gâteaux en parts individuelles;0;0
Décoration;Décoration d'intérieur;Aide à l'achat et montage des meubles et déco;1;1
Décoration;Décoration d'intérieur;Architecte d'intérieur;0;0
Décoration;Décoration d'intérieur;découpe en fibre de papier ou verretous logos ou motifs, tous format ;0;1
Décoration;Décoration d'intérieur;peintre plâtrier solier carreleur;0;1
Décoration;Home staging;Home staging cave;0;0
Décoration;Home staging;Home staging chambre;0;0
Décoration;Home staging;Home staging cuisine;0;0
Décoration;Home staging;Home staging entrée et couloir;0;0
Décoration;Home staging;Home staging garage;0;0
